date,campaign_name,impressions,clicks,spend,revenue
2026-01-01,Google Search - Q1,5000,150,500,2500
2026-01-01,Meta Ads - Lead Gen,3000,90,300,1800
2026-01-01,LinkedIn - B2B,2000,40,400,1200
2026-01-02,Google Search - Q1,5200,160,520,2800
2026-01-02,Meta Ads - Lead Gen,3100,95,320,1900
2026-01-02,LinkedIn - B2B,2100,45,420,1300
2026-01-03,Google Search - Q1,4800,145,480,2400
2026-01-03,Meta Ads - Lead Gen,3200,100,330,2000
2026-01-03,LinkedIn - B2B,2050,42,410,1250
2026-01-04,Google Search - Q1,5500,170,550,3000
2026-01-04,Meta Ads - Lead Gen,3400,105,350,2100
2026-01-04,LinkedIn - B2B,2200,50,440,1400
2026-01-05,Google Search - Q1,5300,162,530,2900
2026-01-05,Meta Ads - Lead Gen,3300,102,340,2050
2026-01-05,LinkedIn - B2B,2150,48,430,1350
2026-01-06,Google Search - Q1,5100,155,510,2700
2026-01-06,Meta Ads - Lead Gen,3050,92,310,1850
2026-01-06,LinkedIn - B2B,2000,40,400,1200
2026-01-07,Google Search - Q1,5400,165,540,2950
2026-01-07,Meta Ads - Lead Gen,3250,98,335,2000
2026-01-07,LinkedIn - B2B,2100,44,420,1300
